id,query,expected_answer,source_document,document_type,graph_expected_document
gs-01,Does racial segregation in public schools violate the Equal Protection Clause even if the physical facilities are equal?,"Yes. In Brown v. Board of Education, the Supreme Court held that segregating white and Black children in public schools solely on the basis of race, even where physical facilities and other tangible factors are equal, denies Black children the equal protection of the laws guaranteed by the Fourteenth Amendment.",Brown v. Board of Education,court_judgment,
gs-02,"What must police do before using statements from a custodial interrogation at trial, according to Miranda v. Arizona?","Before interrogating a person in custody, police must clearly inform them that they have the right to remain silent, that anything they say can be used against them in court, that they have the right to consult a lawyer and have the lawyer present during interrogation, and that a lawyer will be appointed for them if they cannot afford one. Statements obtained without these warnings cannot be used by the prosecution.",Miranda v. Arizona,court_judgment,
gs-03,What did the Supreme Court hold about the scope of the Second Amendment in District of Columbia v. Heller?,"The Court held that the Second Amendment protects an individual's right to possess a firearm unconnected with service in a militia, and to use that firearm for traditionally lawful purposes such as self-defense within the home.",District of Columbia v. Heller,court_judgment,
gs-04,What did the Supreme Court hold about the EPA's 'plantwide' definition of stationary source in Chevron v. NRDC?,"The Court held that the EPA's plantwide (bubble concept) definition of the statutory term 'stationary source' was a permissible construction of the Clean Air Act, since Congress had not directly addressed the precise question at issue and the agency's interpretation was reasonable.","Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc.",court_judgment,
gs-05,Did burning the American flag as a form of political protest count as protected expression under the First Amendment in Texas v. Johnson?,"Yes. The Court held that Johnson's flag burning was expressive conduct implicating the First Amendment, and that Texas's asserted interest in preventing breaches of the peace was not implicated because the government cannot assume that provocative expression will incite a riot.",Texas v. Johnson,court_judgment,
gs-06,"In United States v. Nixon, did the Court treat the dispute between the Special Prosecutor and the President as a non-justiciable 'intra-branch dispute'?","No. The Court held that the mere assertion of an intra-branch dispute, without more, does not defeat federal jurisdiction, and that the dispute between the Special Prosecutor and the President presented a justiciable controversy.",United States v. Nixon,court_judgment,
gs-07,What Code does the Tax Cuts and Jobs Act (Pub. L. 115-97) refer to when it amends 'the Code'?,"Except as otherwise expressly provided, the Tax Cuts and Jobs Act states that any amendment or repeal expressed in terms of an amendment to, or repeal of, a section or provision is a reference to a section or provision of the Internal Revenue Code of 1986.",Tax Cuts and Jobs Act,act,
gs-08,What is the stated purpose of the Dodd-Frank Wall Street Reform and Consumer Protection Act?,"Dodd-Frank was enacted to promote the financial stability of the United States by improving accountability and transparency in the financial system, to end 'too big to fail,' to protect the American taxpayer by ending bailouts, and to protect consumers from abusive financial services practices.",Dodd-Frank Wall Street Reform and Consumer Protection Act,act,
gs-09,What was the stated purpose of the USA PATRIOT Act of 2001?,"The USA PATRIOT Act was enacted to deter and punish terrorist acts in the United States and around the world, and to enhance law enforcement investigatory tools.",USA PATRIOT Act,act,
gs-10,"What is the Sarbanes-Oxley Act of 2002 intended to protect, and how?",The Sarbanes-Oxley Act was enacted to protect investors by improving the accuracy and reliability of corporate disclosures made pursuant to the securities laws.,Sarbanes-Oxley Act of 2002,act,
gs-11,"What did HIPAA (the Health Insurance Portability and Accountability Act of 1996) amend, and what were its goals?","HIPAA amended the Internal Revenue Code of 1986 to improve the portability and continuity of health insurance coverage in the group and individual markets, to combat waste, fraud, and abuse in health insurance and health care delivery, to promote the use of medical savings accounts, to improve access to long-term care services, and to simplify the administration of health insurance.",Health Insurance Portability and Accountability Act of 1996,act,
gs-12,"What does the Fourth Amendment protect against, according to the Wex commentary?","The Fourth Amendment protects the right of people to be secure in their persons, houses, papers, and effects against unreasonable searches and seizures, and requires that warrants be supported by probable cause and particularly describe the place to be searched and the persons or things to be seized. Its ultimate goal is to protect privacy and freedom from unreasonable government intrusion, though it only protects against unreasonable searches and seizures done by the government.",Fourth Amendment,pov,
gs-13,"What rights does the First Amendment protect, according to the Wex commentary?","The First Amendment protects freedom of religion and freedom of expression from government interference. It prohibits laws establishing a national religion, impeding the free exercise of religion, abridging freedom of speech, infringing the freedom of the press, interfering with the right to peaceably assemble, or prohibiting people from petitioning the government for redress of grievances.",First Amendment,pov,
gs-14,"What is the constitutional source of the 'due process' requirement, and to whom does it apply?","Due process derives from the Fifth Amendment, which provides that no one shall be deprived of life, liberty, or property without due process of law by the federal government. The Fourteenth Amendment, ratified in 1868, uses the same words in its Due Process Clause to extend this obligation to the states.",Due Process,pov,
gs-15,"What are the basic elements required for an agreement to be a legally enforceable contract, according to the Wex commentary?","The basic elements are mutual assent (offer and acceptance), consideration (something of value exchanged), capacity (such as minimum age and sound mind), and legality (a lawful purpose). In some states, a valid substitute can satisfy the consideration element.",Contract,pov,
gs-16,"What is the definition of negligence, according to the Wex commentary?","Negligence is the failure to behave with the level of care that a reasonable person would have exercised under the same circumstances. Both actions and, in some cases, omissions can be found negligent -- omissions only when the person had a duty to act. Negligence is a foundational concept of tort law.",Negligence,pov,
gs-17,What are the Social Security and Medicare tax rates and the Social Security wage base limit described in IRS Publication 15 (Circular E)?,"The Medicare tax rate is 1.45% each for the employee and employer, with no wage base limit for Medicare tax. The Social Security wage base limit is $184,500.","Publication 15 (Circular E), Employer's Tax Guide",tax_document,
gs-18,"What is the 2025 standard deduction for a single filer under age 65, according to IRS Publication 501?","For 2025, a single filer under age 65 has a standard deduction of $15,750.","Publication 501, Dependents, Standard Deduction, and Filing Information",tax_document,
gs-19,"What change did the One Big Beautiful Bill Act (OBBBA), P.L. 119-21, make to bonus depreciation according to Publication 463?","OBBBA amended Internal Revenue Code section 168(k) to provide taxpayers with a permanent 100% additional first-year (bonus) depreciation deduction for qualified property acquired and placed in service, and specified plants planted or grafted, after the applicable date.","Publication 463, Travel, Gift, and Car Expenses",tax_document,
gs-20,"What is the self-employment (SE) tax rate for 2025, and how is it broken down, according to IRS Publication 334?","The 2025 SE tax rate on net earnings is 15.3%, consisting of 12.4% Social Security tax plus 2.9% Medicare tax. Only the first $176,100 of combined wages, tips, and net earnings is subject to the Social Security portion of SE tax in 2025.","Publication 334, Tax Guide for Small Business",tax_document,
gs-21,"According to Brown v. Board of Education, what was the earlier Supreme Court doctrine that the Court's ruling on school segregation overturned, and where did that doctrine originate?","Brown v. Board of Education overturned the 'separate but equal' doctrine that originated in Plessy v. Ferguson, 163 U.S. 537 (1896), holding that this doctrine has no place in the field of public education.",Brown v. Board of Education,court_judgment,Plessy v. Ferguson
gs-22,"In Miranda v. Arizona, which earlier Supreme Court case did the Court rely on for the principle that appointment of counsel for indigent suspects is required?","Miranda v. Arizona ties the appointment of counsel for indigent suspects to Gideon v. Wainwright, 372 U.S. 335, alongside Douglas v. California, 372 U.S. 353.",Miranda v. Arizona,court_judgment,Gideon v. Wainwright
gs-23,What Fourth Amendment case does Miranda v. Arizona reference in discussing concerns about confessions obtained through unsupervised police interrogation?,"Miranda v. Arizona references Mapp v. Ohio, 367 U.S. 643 (1961), in the context of Justice Harlan's dissent discussing concerns about confessions obtained at the unsupervised pleasure of the police.",Miranda v. Arizona,court_judgment,Mapp v. Ohio
gs-24,"In Regents of the University of California v. Bakke, which earlier case is cited as an example of the Court applying a lenient standard of review to a racial classification?","Bakke cites Korematsu v. United States, 323 U.S. 214 (1944), alongside Hirabayashi v. United States, as an example where the Court sustained a racial classification even though it purported to apply a strict standard of review.",Regents of the University of California v. Bakke,court_judgment,Korematsu v. United States
gs-25,"According to Regents of the University of California v. Bakke, what series of decisions leading up to Brown v. Board of Education addressed racial segregation before Brown itself was decided?","Bakke references a series of decisions leading up to Brown v. Board of Education, 347 U.S. 483 (1954), including Morgan v. Virginia, Sweatt v. Painter, and McLaurin v. Oklahoma State Regents, noting that those decisions did not automatically end segregation.",Regents of the University of California v. Bakke,court_judgment,Brown v. Board of Education
gs-26,"In Planned Parenthood v. Casey, what earlier decision does the Court reaffirm regarding the State's obligation concerning the life or health of the mother?","Casey reaffirms Roe v. Wade, 410 U.S. 113 (1973), specifically its explanation of the State's obligation to protect the life or health of the mother, applying stare decisis principles to that reaffirmation.",Planned Parenthood of Southeastern Pennsylvania v. Casey,court_judgment,Roe v. Wade
gs-27,What historically erroneous decision does Planned Parenthood v. Casey cite as an example of a doctrine that 'lasted 58 years' before being corrected?,"Casey cites Plessy v. Ferguson, 163 U.S. 537 (1896), as an example of an erroneous decision -- specifically its 'separate but equal' doctrine, which the opinion notes lasted 58 years after Plessy before being corrected.",Planned Parenthood of Southeastern Pennsylvania v. Casey,court_judgment,Plessy v. Ferguson
gs-28,What case does Planned Parenthood v. Casey cite as an example of the Court correctly correcting one of its own errors despite a generation having grown used to the earlier decision?,"Casey cites Brown v. Board of Education, 347 U.S. 483 (1954), as an example where the Court corrected its error in rejecting the 'separate but equal' doctrine, alongside West Coast Hotel Co. v. Parrish overruling Adkins v. Children's Hospital.",Planned Parenthood of Southeastern Pennsylvania v. Casey,court_judgment,Brown v. Board of Education
gs-29,What earlier First Amendment case does Citizens United v. FEC cite for the principle that doubt should be resolved in favor of protecting speech rather than stifling it?,"Citizens United cites New York Times Co. v. Sullivan, 376 U.S. 254, 269-270 (1964), for the principle that First Amendment standards must give the benefit of any doubt to protecting rather than stifling speech.",Citizens United v. Federal Election Commission,court_judgment,New York Times Co. v. Sullivan
gs-30,"According to Citizens United v. FEC, when did the Court first consider applying the First Amendment to speech restrictions other than prior restraints, and which case marked that point?","Citizens United states that the Court did not consider application of the First Amendment to speech restrictions other than prior restraints until 1919, in Schenck v. United States, 249 U.S. 47.",Citizens United v. Federal Election Commission,court_judgment,Schenck v. United States
gs-31,What did the Supreme Court hold in Gideon v. Wainwright regarding the right to counsel for indigent defendants in state criminal trials?,"The Court held that the right of an indigent defendant in a criminal trial to have the assistance of counsel is a fundamental right essential to a fair trial, and that Gideon's trial and conviction without the assistance of counsel violated the Fourteenth Amendment. The Court overruled Betts v. Brady, 316 U.S. 455, in reaching this holding.",Gideon v. Wainwright,court_judgment,
gs-32,What did the Supreme Court hold in Mapp v. Ohio regarding evidence obtained through unconstitutional searches and seizures in state criminal trials?,"The Court held that all evidence obtained by searches and seizures in violation of the Federal Constitution is inadmissible in a criminal trial in a state court, overruling Wolf v. Colorado, 338 U.S. 25, to the extent it held otherwise.",Mapp v. Ohio,court_judgment,
gs-33,What standard did the Supreme Court apply in Terry v. Ohio to justify a police officer's pat-down search of a suspect for weapons?,"The Court held that an officer who has reasonable cause to believe that a person he is investigating is armed and dangerous may conduct a limited pat-down of the outer clothing for weapons, for his own protection, even absent probable cause to arrest.",Terry v. Ohio,court_judgment,
gs-34,What did the Supreme Court hold in Tinker v. Des Moines Independent Community School District regarding students wearing armbands to school as a form of protest?,"The Court held that the students' wearing of black armbands to protest the Vietnam War was quiet, passive, non-disruptive conduct protected by the Free Speech Clause of the First Amendment and the Due Process Clause of the Fourteenth Amendment, and that students do not shed their constitutional rights to freedom of speech at the schoolhouse gate.",Tinker v. Des Moines Independent Community School District,court_judgment,
gs-35,What did the Supreme Court hold in Roe v. Wade regarding a woman's constitutional right of privacy and the decision to terminate a pregnancy?,"The Court held that the constitutional right of privacy, whether founded in the Fourteenth Amendment's concept of personal liberty or the Ninth Amendment's reservation of rights to the people, is broad enough to encompass a woman's decision whether or not to terminate her pregnancy.",Roe v. Wade,court_judgment,
gs-36,What standard did the Supreme Court establish in New York Times Co. v. Sullivan for public officials seeking damages for defamatory statements about their official conduct?,"The Court held that a public official cannot recover damages for a defamatory falsehood relating to their official conduct unless they prove the statement was made with 'actual malice' -- that is, with knowledge that it was false or with reckless disregard of whether it was false or not.",New York Times Co. v. Sullivan,court_judgment,
gs-37,What did the Supreme Court hold in Korematsu v. United States regarding the wartime exclusion order affecting persons of Japanese ancestry?,"The Court affirmed Korematsu's conviction, holding that the exclusion order under which he was convicted was valid even though evacuation and detention in an assembly center were inseparable from the exclusion itself.",Korematsu v. United States,court_judgment,
gs-38,What did the Supreme Court hold in Gibbons v. Ogden regarding the scope of Congress's power to regulate commerce among the states?,"The Court held that Congress's power over commerce with foreign nations and among the several states is as plenary and absolute, within its specified objects, as it would be in a single unified government, subject only to the restrictions found in the Constitution itself.",Gibbons v. Ogden,court_judgment,
gs-39,What principle did the Supreme Court establish in McCulloch v. Maryland regarding a state's power to tax an instrumentality of the federal government?,"The Court held that the power to tax involves the power to destroy, and that a state may not tax an instrumentality of the federal government such as the Bank of the United States, because doing so would allow one government to control and potentially defeat the constitutional measures of another government that is supreme over it.",McCulloch v. Maryland,court_judgment,
gs-40,What did the Supreme Court hold in Bush v. Gore regarding the manual recount of ballots ordered by the Florida Supreme Court?,"The Court held that the recount procedures ordered by the Florida Supreme Court, lacking uniform standards for determining voter intent across counties, violated the Equal Protection Clause, and that no constitutionally valid recount could be completed by the December 12 safe-harbor deadline.",Bush v. Gore,court_judgment,
